availability_day,availability_hour,number,available_bikes,temperature,humidity,wind_speed,pressure,weather_main
Saturday,19,2,9,283.22,94,7.72,1000,Clouds
Saturday,19,2,9,283.22,94,7.72,1000,Clouds
Saturday,19,2,9,283.37,93,8.75,1000,Rain
Saturday,20,2,9,283.12,94,5.66,1000,Clouds
Saturday,20,2,8,283.12,94,5.66,1000,Clouds
Saturday,20,2,8,283.12,94,5.66,1000,Clouds
Saturday,20,2,8,283.19,93,8.75,1000,Clouds
Saturday,20,2,8,283.31,92,8.75,1000,Clouds
Saturday,20,2,8,283.19,92,8.75,1000,Clouds
Saturday,20,2,8,283.19,92,9.77,1001,Rain
Saturday,21,2,8,283.14,92,5.14,1000,Clouds
Saturday,21,2,8,283.19,92,9.77,1001,Clouds
Saturday,21,2,8,283.19,92,9.77,1001,Clouds
Saturday,21,2,8,283.12,92,9.77,1001,Clouds
Saturday,21,2,8,283.12,91,9.77,1001,Clouds
Saturday,21,2,7,283.12,90,9.77,1001,Clouds
Saturday,21,2,7,283.05,90,8.75,1001,Drizzle
Saturday,21,2,7,283.07,90,6.17,1001,Clouds
Saturday,22,2,7,283.07,90,6.17,1001,Clouds
Saturday,22,2,6,283.04,90,8.75,1001,Drizzle
Saturday,22,2,6,283.04,90,8.75,1001,Drizzle
Saturday,22,2,6,283.04,90,8.75,1001,Drizzle
Saturday,22,2,6,283.04,90,8.75,1001,Drizzle
Saturday,22,2,7,283.1,90,8.75,1001,Drizzle
Saturday,22,2,7,282.91,91,8.75,1001,Clouds
Saturday,22,2,7,282.96,89,8.75,1001,Clouds
Saturday,22,2,7,282.96,89,8.75,1001,Clouds
Saturday,22,2,7,282.76,91,9.77,1001,Drizzle
Saturday,23,2,7,282.77,91,7.2,1001,Clouds
Saturday,23,2,7,282.77,91,7.2,1001,Clouds
Saturday,23,2,7,282.76,91,9.77,1001,Mist
Saturday,23,2,8,282.63,91,9.77,1001,Drizzle
Saturday,23,2,8,282.63,91,9.77,1001,Drizzle
Saturday,23,2,8,282.63,90,9.77,1001,Clouds
Saturday,23,2,8,282.72,88,8.23,1002,Clouds
Sunday,0,2,6,282.56,89,7.2,1002,Clouds
Sunday,0,2,6,282.71,87,8.23,1001,Clouds
Sunday,0,2,6,282.71,87,8.23,1001,Clouds
Sunday,0,2,6,282.71,87,8.23,1001,Clouds
Sunday,0,2,6,282.5,88,8.23,1001,Clouds
Sunday,0,2,6,282.46,86,8.23,1001,Clouds
Sunday,0,2,6,282.46,85,8.23,1001,Clouds
Sunday,0,2,6,282.46,85,8.23,1001,Clouds
Sunday,0,2,6,282.46,85,8.23,1001,Clouds
Sunday,0,2,6,282.46,85,8.75,1002,Drizzle
Sunday,1,2,6,282.46,85,8.75,1002,Drizzle
Sunday,1,2,6,282.46,85,8.75,1002,Drizzle
Sunday,1,2,6,282.46,85,8.75,1002,Drizzle
Sunday,1,2,6,282.46,85,8.75,1002,Drizzle
Sunday,1,2,6,282.46,85,8.75,1002,Clouds
Sunday,1,2,6,282.46,85,8.75,1002,Clouds
Sunday,1,2,6,282.46,85,8.75,1002,Clouds
Sunday,1,2,6,282.31,87,9.26,1002,Drizzle
Sunday,2,2,6,282.31,86,6.69,1002,Clouds
Sunday,2,2,6,282.31,86,6.69,1002,Clouds
Sunday,2,2,6,282.3,87,9.26,1002,Drizzle
Sunday,2,2,6,282.24,87,9.26,1002,Drizzle
Sunday,2,2,6,282.09,87,9.26,1002,Drizzle
Sunday,2,2,6,282.09,87,9.26,1002,Clouds
Sunday,2,2,6,281.97,87,9.26,1002,Clouds
Sunday,2,2,6,281.98,86,8.23,1003,Clouds
Sunday,3,2,6,282,86,7.72,1003,Clouds
Sunday,3,2,6,282,86,7.72,1003,Clouds
Sunday,3,2,6,282.09,86,8.23,1002,Clouds
Sunday,3,2,6,282.09,86,8.23,1002,Clouds
Sunday,3,2,6,282.09,86,8.23,1002,Clouds
Sunday,3,2,6,281.96,86,7.72,1003,Clouds
Sunday,3,2,6,282.14,85,5.66,1003,Clouds
Sunday,4,2,6,282,85,5.66,1003,Clouds
Sunday,4,2,6,281.86,84,7.72,1003,Clouds
Sunday,4,2,6,281.86,84,7.72,1003,Clouds
Sunday,4,2,6,281.86,84,7.72,1003,Clouds
Sunday,4,2,6,281.86,83,7.72,1003,Clouds
Sunday,4,2,6,281.88,85,7.72,1003,Clouds
Sunday,4,2,6,281.88,85,7.72,1003,Clouds
Sunday,5,2,6,281.74,85,4.47,1003,Clouds
Sunday,5,2,6,281.86,83,9.26,1003,Clouds
Sunday,5,2,6,281.61,86,9.26,1003,Clouds
Sunday,5,2,6,281.86,84,9.26,1003,Clouds
Sunday,5,2,6,281.86,84,9.26,1003,Clouds
Sunday,5,2,6,281.86,84,7.2,1003,Clouds
Sunday,6,2,6,281.74,86,4.12,1003,Clouds
Sunday,6,2,6,281.86,84,7.2,1003,Clouds
Sunday,6,2,6,281.86,84,7.2,1003,Clouds
Sunday,6,2,6,281.86,84,7.2,1003,Clouds
Sunday,6,2,6,281.86,84,7.2,1003,Clouds
Sunday,6,2,6,281.73,86,7.2,1003,Clouds
Sunday,6,2,6,281.77,85,7.2,1003,Clouds
Sunday,6,2,6,281.78,85,7.2,1003,Clouds
Sunday,7,2,6,281.68,86,3.6,1003,Clouds
Sunday,7,2,6,281.77,85,7.2,1003,Clouds
Sunday,7,2,6,281.73,86,7.2,1003,Clouds
Sunday,7,2,6,281.73,86,7.2,1003,Clouds
Sunday,7,2,6,281.73,86,7.2,1003,Clouds
Sunday,7,2,6,281.73,86,7.2,1003,Clouds
Sunday,7,2,6,281.81,86,7.2,1003,Clouds
Sunday,7,2,6,281.81,85,7.72,1003,Clouds
Sunday,8,2,7,281.83,85,4.63,1003,Clouds
Sunday,8,2,6,281.83,85,4.63,1003,Clouds
Sunday,8,2,7,282,85,7.72,1003,Clouds
Sunday,8,2,4,282.28,84,7.72,1003,Clouds
Sunday,8,2,2,282.28,84,7.72,1003,Clouds
Sunday,8,2,2,282.82,82,6.69,1003,Clouds
Sunday,9,2,2,282.9,82,3.13,1003,Clouds
Sunday,9,2,2,282.9,82,3.13,1003,Clouds
Sunday,9,2,2,282.9,82,3.13,1003,Clouds
Sunday,9,2,2,283.16,81,6.69,1002,Clouds
Sunday,9,2,2,283.1,81,6.69,1002,Clouds
Sunday,9,2,2,283.59,80,6.69,1002,Clouds
Sunday,9,2,2,284.02,78,5.14,1002,Clouds
Sunday,10,2,3,283.96,78,3.6,1002,Clouds
Sunday,10,2,2,284.26,77,5.14,1001,Clouds
Sunday,10,2,2,285.04,75,5.14,1001,Clouds
Sunday,10,2,2,285.04,75,5.14,1001,Clouds
Sunday,10,2,2,285.94,69,5.14,1001,Clouds
Sunday,10,2,2,285.87,68,5.14,1001,Clouds
Sunday,10,2,2,285.87,68,5.14,1001,Clouds
Sunday,10,2,2,285.68,68,7.2,1001,Clouds
Sunday,11,2,2,285.67,67,5.14,1001,Clouds
Sunday,11,2,2,285.67,69,7.2,1001,Clouds
Sunday,11,2,2,285.74,69,7.2,1001,Clouds
Sunday,11,2,2,285.74,69,7.2,1001,Clouds
Sunday,11,2,2,285.74,69,7.2,1001,Clouds
Sunday,11,2,2,285.85,69,7.2,1001,Clouds
Sunday,11,2,2,285.85,69,7.2,1001,Clouds
Sunday,11,2,2,285.96,69,7.2,1001,Clouds
Sunday,11,2,1,285.96,69,7.2,1000,Clouds
Sunday,11,2,1,285.96,69,7.2,1000,Clouds
Sunday,11,2,1,285.87,73,8.23,1000,Clouds
Sunday,12,2,1,285.99,71,6.17,1001,Clouds
Sunday,12,2,1,285.99,71,6.17,1001,Clouds
Sunday,12,2,1,285.4,75,8.23,1000,Clouds
Sunday,12,2,1,285.4,75,8.23,1000,Clouds
Sunday,12,2,0,285.55,77,8.23,1000,Clouds
Sunday,12,2,0,285.69,77,8.23,999,Clouds
Sunday,12,2,0,285.76,77,8.23,999,Clouds
Sunday,12,2,0,285.86,77,9.26,999,Clouds
Sunday,13,2,0,286,77,7.72,999,Clouds
Sunday,13,2,0,286,77,7.72,999,Clouds
Sunday,13,2,0,286.12,77,9.26,999,Clouds
Sunday,13,2,0,286.12,77,9.26,999,Clouds
Sunday,13,2,0,286.28,77,9.26,998,Clouds
Sunday,13,2,13,286.07,78,9.26,998,Clouds
Sunday,13,2,13,286.07,78,9.26,998,Clouds
Sunday,14,2,13,286,79,7.2,998,Clouds
Sunday,14,2,13,285.86,79,9.26,998,Clouds
Sunday,14,2,13,285.86,79,9.26,998,Clouds
Sunday,14,2,14,285.91,79,9.26,998,Clouds
Sunday,14,2,14,285.86,80,9.26,997,Clouds
Sunday,14,2,14,285.86,79,9.26,997,Clouds
Sunday,14,2,14,285.92,79,9.26,997,Clouds
Sunday,14,2,14,285.86,79,9.26,997,Clouds
Sunday,14,2,14,285.9,80,9.26,996,Clouds
Sunday,15,2,14,285.93,79,5.66,997,Clouds
Sunday,15,2,14,285.93,79,5.66,997,Clouds
Sunday,15,2,14,285.92,80,9.26,996,Clouds
Sunday,15,2,15,285.95,80,9.26,996,Clouds
Sunday,15,2,15,285.95,80,9.26,996,Clouds
Sunday,15,2,16,285.63,81,9.26,996,Clouds
Sunday,15,2,15,285.63,81,9.26,996,Clouds
Sunday,15,2,15,285.64,81,5.66,995,Clouds
Sunday,16,2,15,285.64,81,7.2,995,Clouds
Sunday,16,2,15,285.64,81,7.2,995,Clouds
Sunday,16,2,15,285.5,82,5.66,995,Clouds
Sunday,16,2,15,285.5,82,5.66,995,Rain
Sunday,16,2,15,285.33,82,8.75,994,Rain
Sunday,16,2,15,285.68,82,8.75,994,Rain
Sunday,17,2,15,285.79,81,6.69,994,Rain
Sunday,17,2,15,285.54,82,7.2,993,Rain
Sunday,17,2,15,285.54,82,7.2,993,Rain
Sunday,17,2,16,285.54,82,7.2,993,Rain
Sunday,17,2,15,285.54,82,7.2,993,Rain
Sunday,17,2,14,285.33,83,7.2,992,Rain
Sunday,17,2,14,285.33,83,7.2,992,Rain
Sunday,17,2,14,285.09,84,5.14,992,Rain
Sunday,18,2,13,285.13,83,4.63,992,Clouds
Sunday,18,2,11,284.6,86,5.14,991,Clouds
Sunday,18,2,11,284.6,86,5.14,991,Clouds
Sunday,18,2,11,284.6,86,5.14,991,Clouds
Sunday,18,2,11,284.39,86,5.14,991,Rain
Sunday,18,2,12,284.38,87,5.14,990,Rain
Sunday,18,2,12,284.38,87,5.14,990,Rain
Sunday,18,2,12,284.44,87,3.6,990,Rain
Sunday,19,2,12,284.42,87,3.09,990,Rain
Sunday,19,2,12,284.42,87,3.09,990,Rain
Sunday,19,2,12,284.45,88,3.6,989,Rain
Sunday,19,2,12,284.45,88,3.6,989,Rain
Sunday,19,2,12,284.45,88,3.6,989,Rain
Sunday,19,2,12,284.45,88,3.6,989,Rain
Sunday,19,2,12,284.23,89,7.2,988,Rain
Sunday,20,2,12,284.19,89,3.6,988,Rain
Sunday,20,2,11,284.19,89,3.6,988,Rain
Sunday,20,2,11,284.3,89,7.2,988,Rain
Sunday,20,2,11,284.3,89,7.2,988,Rain
Sunday,20,2,11,284.22,90,7.2,987,Rain
Sunday,20,2,11,284.22,90,7.2,987,Clouds
Sunday,20,2,11,284.44,91,7.2,987,Clouds
Sunday,20,2,11,284.44,91,7.2,987,Clouds
Sunday,20,2,11,284.68,89,7.72,987,Rain
Sunday,21,2,11,284.18,91,2.68,987,Clouds
Sunday,21,2,11,284.18,91,2.68,987,Clouds
Sunday,21,2,11,284.67,89,7.72,987,Clouds
Sunday,21,2,11,284.86,90,7.72,986,Clouds
Sunday,21,2,11,284.86,90,7.72,986,Clouds
Sunday,21,2,12,285.22,88,7.72,986,Clouds
Sunday,21,2,12,285.22,88,7.72,986,Clouds
Sunday,21,2,12,285.44,88,7.72,986,Rain
Sunday,21,2,12,285.64,88,10.29,985,Rain
Sunday,21,2,12,285.49,88,5.14,986,Rain
Sunday,22,2,12,285.62,88,5.14,985,Rain
Sunday,22,2,12,285.62,88,5.14,985,Rain
Sunday,22,2,12,285.62,88,5.14,985,Rain
Sunday,22,2,12,285.62,88,10.29,984,Rain
Sunday,22,2,12,285.62,88,10.29,984,Rain
Sunday,22,2,12,285.62,88,10.29,984,Rain
Sunday,22,2,12,285.62,88,10.29,984,Rain
Sunday,22,2,12,285.5,88,12.35,983,Rain
Sunday,23,2,12,285.47,89,5.14,984,Clouds
Sunday,23,2,12,285.61,88,12.35,983,Clouds
Sunday,23,2,12,285.61,88,12.35,983,Clouds
Sunday,23,2,12,285.66,87,12.35,982,Clouds
Sunday,23,2,12,285.58,88,12.35,982,Clouds
Sunday,23,2,12,285.78,87,9.77,982,Rain
Monday,0,2,12,285.79,87,5.66,982,Rain
Monday,0,2,12,285.79,87,5.66,982,Rain
Monday,0,2,12,285.91,86,9.77,981,Rain
Monday,0,2,12,285.78,87,9.77,981,Rain
Monday,0,2,12,285.78,87,9.77,980,Rain
Monday,0,2,12,285.78,87,9.77,980,Rain
Monday,0,2,12,285.78,87,11.32,980,Rain
Monday,1,2,12,285.79,87,7.6,980,Clouds
Monday,1,2,12,285.58,87,11.32,980,Clouds
Monday,1,2,12,285.58,87,11.32,980,Clouds
Monday,1,2,12,285.73,87,11.32,980,Clouds
Monday,1,2,12,285.73,87,11.32,980,Rain
Monday,1,2,12,285.79,87,10.8,979,Rain
Monday,2,2,12,285.79,87,8.05,979,Clouds
Monday,2,2,12,285.79,87,8.05,979,Clouds
Monday,2,2,12,285.84,86,10.8,979,Clouds
Monday,2,2,12,285.84,84,10.8,979,Clouds
Monday,2,2,12,285.84,84,10.8,979,Clouds
Monday,2,2,12,285.63,84,10.8,979,Clouds
Monday,2,2,12,285.63,84,10.8,979,Clouds
Monday,2,2,12,285.64,83,11.32,978,Rain
Monday,3,2,12,285.63,83,11.32,978,Clouds
Monday,3,2,12,285.63,83,11.32,978,Clouds
Monday,3,2,12,285.63,83,11.32,978,Clouds
Monday,3,2,12,285.3,84,11.32,978,Rain
Monday,3,2,12,285.3,84,11.32,978,Rain
Monday,3,2,12,284.86,84,11.32,978,Clouds
Monday,3,2,12,284.86,84,11.32,978,Clouds
Monday,3,2,12,284.39,83,10.29,977,Rain
Monday,4,2,12,284.5,82,8.49,977,Rain
Monday,4,2,12,283.95,83,10.29,977,Rain
Monday,4,2,12,283.82,83,10.29,977,Clouds
Monday,4,2,12,283.6,83,9.26,977,Rain
Monday,4,2,12,283.6,83,9.26,977,Rain
Monday,4,2,12,283.6,84,9.26,977,Rain
Monday,4,2,12,283.44,85,9.77,977,Rain
Monday,5,2,12,283.52,84,9.26,977,Rain
Monday,5,2,12,283.38,87,9.77,977,Rain
Monday,5,2,12,283.38,87,9.77,977,Rain
Monday,5,2,12,283.38,87,9.77,976,Rain
Monday,5,2,12,283.6,86,9.77,976,Rain
Monday,5,2,11,283.69,85,10.29,976,Rain
Monday,6,2,11,283.63,84,6.71,976,Rain
Monday,6,2,11,283.56,86,10.29,976,Clouds
Monday,6,2,11,283.56,86,10.29,976,Clouds
Monday,6,2,11,283.56,86,10.29,976,Clouds
Monday,6,2,11,283.56,86,10.29,976,Clouds
Monday,6,2,8,283.31,87,10.29,976,Clouds
Monday,6,2,7,283.31,87,10.29,976,Clouds
Monday,6,2,6,283.56,88,10.29,976,Clouds
Monday,6,2,6,283.56,87,10.29,976,Rain
Monday,7,2,7,283.55,87,7.6,976,Clouds
Monday,7,2,4,283.63,86,10.29,976,Clouds
Monday,7,2,3,283.63,87,10.29,976,Clouds
Monday,7,2,3,283.68,87,10.29,976,Clouds
Monday,7,2,3,283.68,87,10.29,976,Clouds
Monday,7,2,1,283.72,87,10.29,976,Clouds
Monday,7,2,1,283.86,88,9.77,976,Drizzle
Monday,8,2,0,283.94,88,9.77,977,Clouds
Monday,8,2,8,284,88,9.77,977,Clouds
Monday,8,2,8,284,88,9.77,977,Clouds
Monday,8,2,4,284.17,87,9.77,977,Clouds
Monday,8,2,4,284.17,87,9.77,977,Clouds
Monday,8,2,4,284.17,87,9.77,977,Clouds
Monday,8,2,4,284.25,87,9.77,977,Drizzle
Monday,9,2,3,284.17,87,9.77,977,Clouds
Monday,9,2,3,284.24,87,9.77,977,Clouds
Monday,9,2,2,284.7,86,5.66,977,Clouds
Monday,9,2,2,284.7,86,5.66,977,Clouds
Monday,9,2,2,284.7,86,5.66,977,Clouds
Monday,9,2,2,284.7,86,5.66,977,Clouds
Monday,9,2,1,284.7,86,5.66,977,Clouds
Monday,9,2,1,284.73,84,10.29,977,Drizzle
Monday,9,2,1,284.73,84,10.29,977,Drizzle
Monday,10,2,1,284.89,85,10.29,977,Drizzle
Monday,10,2,1,285.08,85,9.26,977,Clouds
Monday,10,2,1,285.08,85,9.26,977,Rain
Monday,10,2,1,284.99,85,8.75,977,Clouds
Monday,10,2,1,285.06,85,8.75,977,Clouds
Monday,10,2,1,285.23,85,9.26,977,Drizzle
Monday,11,2,1,285.15,85,8.75,977,Clouds
Monday,11,2,1,285.2,84,8.75,977,Clouds
Monday,11,2,1,285.66,84,9.26,977,Drizzle
Monday,11,2,0,285.66,84,9.26,977,Drizzle
Monday,11,2,0,285.66,84,9.26,977,Drizzle
Monday,11,2,0,285.66,84,9.26,977,Drizzle
Monday,11,2,1,285.96,83,8.75,978,Clouds
Monday,11,2,0,286.09,83,8.75,978,Clouds
Monday,11,2,0,286.38,81,10.8,978,Rain
Monday,12,2,0,286.35,82,8.75,978,Clouds
Monday,12,2,10,286.58,81,10.8,978,Clouds
Monday,12,2,10,286.53,81,10.8,978,Clouds
Monday,12,2,7,286.58,80,10.8,978,Clouds
Monday,12,2,7,286.58,80,10.8,978,Clouds
Monday,12,2,7,286.57,79,11.83,978,Clouds
Monday,12,2,6,286.99,78,11.83,978,Clouds
Monday,12,2,7,286.84,79,11.83,977,Clouds
Monday,12,2,7,286.78,78,10.8,978,Drizzle
Monday,13,2,8,286.94,78,11.83,978,Clouds
Monday,13,2,7,287.1,77,11.83,978,Clouds
Monday,13,2,6,286.75,78,10.8,978,Clouds
Monday,13,2,3,286.75,78,10.8,978,Clouds
Monday,13,2,3,286.75,78,10.8,978,Clouds
Monday,13,2,3,286.24,77,10.29,978,Rain
Monday,13,2,4,286.24,77,10.29,978,Rain
Monday,13,2,4,284.94,85,8.23,978,Rain
Monday,14,2,4,285.6,82,10.29,978,Rain
Monday,14,2,4,285.6,83,10.29,978,Rain
Monday,14,2,4,285.6,83,10.29,978,Rain
Monday,14,2,5,284.39,89,8.23,978,Rain
Monday,14,2,5,284.39,89,8.23,978,Rain
Monday,14,2,5,284.23,88,8.23,978,Rain
Monday,14,2,5,283.35,88,7.2,979,Rain
Monday,14,2,5,283.09,89,5.66,979,Rain
Monday,15,2,5,283.1,88,7.2,980,Rain
Monday,15,2,5,283.1,88,7.2,980,Clouds
Monday,15,2,5,283.1,88,7.2,980,Clouds
Monday,15,2,3,282.7,89,5.66,980,Clouds
Monday,15,2,3,282.85,89,5.66,981,Clouds
Monday,15,2,3,282.81,88,6.69,981,Clouds
Monday,15,2,3,282.81,88,6.69,981,Clouds
Monday,15,2,2,282.41,88,6.69,981,Clouds
Monday,15,2,2,281.92,88,6.17,982,Rain
Monday,16,2,1,282.02,88,6.69,981,Rain
Monday,16,2,1,281.83,87,6.17,982,Rain
Monday,16,2,0,281.83,87,6.17,982,Rain
Monday,16,2,0,281.74,88,6.17,983,Rain
Monday,16,2,1,281.81,86,6.17,982,Rain
Monday,16,2,1,281.57,85,6.17,982,Rain
Monday,16,2,0,281.59,85,7.72,982,Rain
Monday,17,2,1,281.58,85,6.17,982,Clouds
Monday,17,2,2,281.39,85,7.72,983,Clouds
Monday,17,2,3,281.14,85,7.6,983,Clouds
Monday,17,2,3,281.14,85,7.6,983,Clouds
Monday,17,2,3,281.08,85,7.6,983,Clouds
Monday,17,2,4,280.78,82,7.2,984,Rain
Monday,18,2,3,280.92,83,7.6,984,Clouds
Monday,18,2,4,280.66,80,7.2,985,Clouds
Monday,18,2,4,280.66,80,7.2,985,Clouds
Monday,18,2,4,280.66,80,7.2,985,Clouds
Monday,18,2,3,280.66,80,7.2,985,Clouds
Monday,18,2,4,280.45,80,7.2,985,Clouds
Monday,18,2,4,280.17,78,6.71,985,Clouds
Monday,18,2,4,280.08,78,6.71,986,Clouds
Monday,18,2,5,280.08,78,6.71,986,Clouds
Monday,18,2,5,280,77,6.71,986,Rain
Monday,19,2,6,280.03,78,6.71,986,Clouds
Monday,19,2,6,279.8,77,6.17,986,Clouds
Monday,19,2,5,279.76,77,6.17,986,Clouds
Monday,19,2,6,279.42,78,6.17,987,Clouds
Monday,19,2,6,279.33,77,7.2,987,Clouds
Monday,19,2,5,279.33,77,7.2,987,Clouds
Monday,19,2,5,279.05,77,7.72,988,Clouds
Monday,20,2,4,279.15,77,7.6,987,Clouds
Monday,20,2,4,279.15,77,7.6,987,Clouds
Monday,20,2,5,279.15,77,7.6,987,Clouds
Monday,20,2,6,278.76,79,7.72,988,Clouds
Monday,20,2,6,278.79,77,7.72,988,Clouds
Monday,20,2,6,278.83,78,7.72,988,Clouds
Monday,20,2,6,278.43,78,7.72,989,Clouds
Monday,20,2,6,278.19,80,7.6,989,Clouds
Monday,21,2,6,278.32,79,7.72,989,Clouds
Monday,21,2,6,278.32,79,7.72,989,Clouds
Monday,21,2,6,277.89,81,5.66,989,Clouds
Monday,21,2,7,277.54,79,7.2,990,Clouds
Monday,22,2,7,277.67,78,6.71,990,Clouds
Monday,22,2,7,277.67,78,6.71,990,Clouds
Monday,22,2,7,277.49,79,7.2,990,Clouds
Monday,22,2,7,277.49,79,7.2,990,Clouds
Monday,22,2,7,277.44,79,7.2,990,Clouds
Monday,22,2,7,277.44,79,7.2,990,Clouds
Monday,22,2,7,277.44,79,7.2,990,Clouds
Monday,22,2,8,277.44,79,7.2,990,Clouds
Monday,22,2,8,277.19,79,7.2,991,Clouds
Monday,22,2,9,276.97,78,7.15,991,Rain
Monday,23,2,9,277,78,7.2,992,Clouds
Monday,23,2,8,276.98,78,6.71,992,Clouds
Monday,23,2,8,276.93,78,6.71,992,Clouds
Monday,23,2,8,276.93,78,6.71,992,Clouds
Monday,23,2,10,276.53,80,6.71,992,Clouds
Monday,23,2,10,276.53,80,6.71,992,Clouds
Monday,23,2,10,276.53,80,6.71,992,Clouds
Monday,23,2,10,276.53,80,6.71,992,Clouds
Monday,23,2,10,276.44,81,6.71,993,Rain
Tuesday,0,2,10,276.52,81,6.71,993,Clouds
Tuesday,0,2,10,276.52,81,6.71,993,Clouds
Tuesday,0,2,10,276.43,81,6.69,993,Clouds
Tuesday,0,2,10,276.37,81,6.17,993,Clouds
Tuesday,0,2,10,276.28,82,6.17,993,Clouds
Tuesday,0,2,10,276.22,83,6.17,994,Clouds
Tuesday,0,2,10,276.22,84,6.17,994,Clouds
Tuesday,0,2,10,276.27,84,5.81,994,Rain
Tuesday,1,2,10,276.26,84,6.17,994,Clouds
Tuesday,1,2,10,276.45,85,6.69,994,Clouds
Tuesday,1,2,10,276.45,86,6.69,994,Clouds
Tuesday,1,2,10,276.27,86,7.72,995,Rain
Tuesday,2,2,10,276.26,86,6.69,994,Clouds
Tuesday,2,2,10,276.26,86,6.69,994,Clouds
Tuesday,2,2,10,275.49,86,7.72,996,Clouds
Tuesday,2,2,10,275.38,89,6.71,996,Clouds
Tuesday,2,2,10,275.48,89,5.66,998,Rain
Tuesday,3,2,10,275.21,92,6.71,996,Rain
Tuesday,3,2,10,275.64,90,5.66,998,Rain
Tuesday,3,2,10,275.69,90,5.66,998,Rain
Tuesday,3,2,10,275.69,90,5.66,998,Rain
Tuesday,3,2,10,275.69,90,5.66,998,Rain
Tuesday,3,2,10,275.56,90,5.66,999,Clouds
Tuesday,3,2,10,275.51,90,5.66,999,Clouds
Tuesday,4,2,10,275.33,90,3.6,999,Clouds
